m,n,mu,nu,Re[A],Im[A],Re[B],Im[B]
-1,1,-11,11,1.6177986101883744e16,-4.785657236246508e15,1.0260425604121436e15,3.4685522725209405e15
-1,1,-10,11,-2.6565109526084708e16,-5.72853296110482e15,1.2498862694327625e15,-5.796137661783902e15
-1,1,-9,11,1.5214650790681982e16,1.3140759305967044e16,-2.9329934179815775e15,3.3958822003302895e15
-1,1,-8,11,-3.1223758176954965e15,-8.335545955187974e15,1.9189258609010205e15,-7.188020720224875e14
-1,1,-7,11,-3.6096693928708125e14,2.532274241817264e15,-6.100060916589315e14,-8.695425962023275e13
-1,1,-6,11,2.8433261235718175e14,-3.8062131934777375e14,9.888022656064584e13,7.386573399681312e13
-1,1,-5,11,-4.542686220072889e13,2.078994665704754e13,-6.368391282079308e12,-1.3915188816190479e13
-1,1,-4,11,8.407840774461625e11,5.9624071944227684e10,-5.59422582717774e10,7.888652766834557e11
-1,1,-3,11,3.887790308917241e11,2.49632144965681e11,-3.4716728154798775e10,5.4068100603027756e10
-1,1,-2,11,-1.700360036010508e10,-3.1124881684077534e10,9.060380066451397e9,-4.949708189233427e9
-1,1,-1,11,2.5880822424083288e-6,-3.3467326003412523e9,2.192097343862481e8,3.546834403756327e-7
-1,1,0,11,-1.5536775854586327e8,2.843987743681892e8,-6.969523128039522e7,-3.807467837871889e7
-1,1,1,11,-3.2747352821008004e7,2.1026833437765516e7,-2.0873453676526337e6,-3.25084779960485e6
-1,1,2,11,725163.7582613251,-51424.875011032644,27166.986340217,383093.0830824865
-1,1,3,11,381741.8265197248,174707.03072204525,-26298.070654871553,57462.33270776206
-1,1,4,11,26474.640010862768,35440.227298067606,-3736.286806899455,2791.08955363252
-1,1,5,11,419.7246207887698,2944.4742168883045,-233.24082301616698,33.247673024753674
-1,1,6,11,-53.36400494554559,142.46142730658866,-8.518386366602195,-3.1908652102519444
-1,1,7,11,-4.8136305941191795,4.157490164933602,-0.18324412493182096,-0.2121639477115878
-1,1,8,11,-0.22110937391459137,0.047680297919919186,-0.0014678370172529435,-0.006806847650963929
-1,1,9,11,-0.006730864537877057,-0.001991076663005378,0.00003833964380300378,-0.00012960774121020244
-1,1,10,11,-0.00013654696529839772,-0.00013715262412526352,1.2458748774131404e-6,-1.2403731590064478e-6
-1,1,11,11,-1.3428305147920722e-6,-4.614439673610484e-6,0.,0.
-1,1,-12,12,-1.9537169469703268e18,-1.9450894349436582e18,3.8052616951542835e17,-3.822140066117476e17
-1,1,-11,12,1.274258329470139e18,4.307649404608511e18,-8.560387121525609e17,2.5322730725074576e17
-1,1,-10,12,7.154600263642601e17,-3.317825714009019e18,6.725420035710602e17,1.450277865935893e17
-1,1,-9,12,-1.0180567744751581e18,1.1787278001275023e18,-2.452494424423693e17,-2.1181977407142e17
-1,1,-8,12,4.4516603016199584e17,-1.667528023850915e17,3.5977699991146988e16,9.604666098763022e16
-1,1,-7,12,-9.737035158597685e16,-1.3879807016508018e16,3.1647600948658725e15,-2.220159133018601e16
-1,1,-6,12,1.0485325588306336e16,7.832772008271906e15,-1.9722480852151748e15,2.64014620782474e15
-1,1,-5,12,-3.56212792196303e14,-7.783391507526136e14,2.5645473574203456e14,-1.173684471638129e14
-1,1,-4,12,2.275836060908556e12,-3.20925200257886e13,-4.2033582019549824e12,-2.9808049243991473e11
-1,1,-3,12,-5.369445945704817e12,8.362416592957628e12,-1.4745925393287007e12,-9.46824981014813e11
-1,1,-2,12,1.974689921122416e11,-1.0787780205786143e11,5.5039554142770195e10,1.0074922806686855e11
-1,1,-1,12,7.221966914041006e10,-2.31966149466429e-7,-1.022372327530584e-7,8.953491767053331e9
-1,1,0,12,-1.5108987875210192e9,-8.254077695246968e8,3.5739970222578055e8,-6.542157666679777e8
-1,1,1,12,-3.138123168549204e8,-4.8873372636170477e8,6.301677518498722e7,-4.046260602627406e7
-1,1,2,12,-1.034295167473034e6,-1.4585030505867558e7,-1.2150344452870574e6,86163.97850989134
-1,1,3,12,-1.3976783876479005e6,3.053982993029748e6,-523281.3259902566,-239483.65189510825
-1,1,4,12,-365537.3781640202,273064.5719626833,-30164.208054817118,-40379.26065435794
-1,1,5,12,-33238.050257568444,4737.96916274549,-393.3670363504239,-2759.569105407552
-1,1,6,12,-1687.4776758727285,-632.1049054701234,40.45990625391079,-108.01243271573516
-1,1,7,12,-50.7595602423426,-58.77049913128974,2.8801517296524377,-2.487561572376454
-1,1,8,12,-0.5943759436012185,-2.756318615716037,0.10052222726166553,-0.021676736985657672
-1,1,9,12,0.025198962151943376,-0.08518546969648434,0.002185460251427404,0.0006464873687556673
-1,1,10,12,0.0017557859654116186,-0.0017480325062647674,0.000028212182912892088,0.000028337319034145354
-1,1,11,12,0.00005960192661150956,-0.000017344529662408726,1.3269076233123238e-7,4.5597229976388184e-7
-1,1,12,12,1.3798923005944246e-6,3.039588127537985e-7,0.,0.
0,1,-1,1,0.11217214736417944,0.46656142777144155,-0.37138588628406555,-0.1538992984461959
0,1,0,1,0.5846771140299121,-0.27285738233297774,0.,0.
0,1,1,1,0.1659955171125831,-0.17323691128229696,-0.03557942825069925,-0.19783129664858734
0,1,-2,2,2.5812068998424254,-3.679950381574049,1.759759327729988,1.9430230352143338
0,1,-1,2,-6.574631504594334,2.237671336842685,-0.5608607368208971,-2.332807138857208
0,1,0,2,2.58543380585471,1.2142959288366844,0.,0.
0,1,1,2,0.9058706776091756,0.7205571106414786,0.27665919518763854,-0.28872818547049495
0,1,2,2,0.09466701362368275,0.16160352091974592,0.10412933847927418,-0.03298173912894575
0,1,-3,3,-67.76511139024008,-5.020535878432364,2.8735946298965023,-25.62325098195163
0,1,-2,3,88.59665013494941,58.893404790351745,-18.06844829889698,25.759652671018344
0,1,-1,3,-25.86150404753559,-51.851237095531644,9.55582923004874,-4.7238961563172275
0,1,0,3,-0.7870881023720254,5.077573547493429,0.,0.
0,1,1,3,-2.471523439348587,4.148087353693713,0.7615048431886665,0.45738508724377974
0,1,2,3,-0.7535069759600272,0.4671033491340792,0.13253381907315587,0.22624492928764425
